"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא.1",ידווח בקבצי נכסי הנוסטרו בלבד,הגעת לשדה האחרון בשורה זו,Unnamed: 4
"תא ללא תוכן, המשך בתא הבא",שווי הוגן,עלות מופחתת,השיטה שיושמה בדוח הכספי,שיעור מסך נכסי השקעה
מזומנים ושווי מזומנים,29260490.80211002,0,29260490.80211002,0.13978348554417958
איגרות חוב ממשלתיות,22820019.63560997,0,22820019.63560997,0.10901600750395322
ניירות ערך מסחריים,0,0,0,0
איגרות חוב,5552335.303420004,0,5552335.303420004,0.026524667233745802
"מניות, מניות בכורה ויחידות השתתפות",30121333.32872002,0,30121333.32872002,0.1438959103728679
קרנות סל,28928790.945060026,0,28928790.945060026,0.1381988859389805
קרנות נאמנות,1647785.8738999993,0,1647785.8738999993,0.007871817818845135
כתבי אופציה,3994.6233000000007,0,3994.6233000000007,1.9083151136676325e-05
אופציות,56669.54250000001,0,56669.54250000001,0.0002707222591861922
חוזים עתידיים,374053.897,0,374053.897,0.0017869337140535273
מוצרים מובנים,39243.52447000002,0,39243.52447000002,0.00018747452571982594
לא סחיר איגרות חוב ממשלתיות,0,0,0,0
לא סחיר איגרות חוב מיועדות,47006826.955299996,34659617.206409976,40705552.32753998,0.19445893863592398
אפיק השקעה מובטח תשואה,0,19922367.730689984,19922367.730689984,0.09517331819628655
לא סחיר ניירות ערך מסחריים,0,0,0,0
לא סחיר איגרות חוב,280821.3342800001,0,280821.3342800001,0.0013415422586826513
"לא סחיר מניות, מניות בכורה ויחידות השתתפות",3096709.925780001,0,3096709.925780001,0.014793631114129204
קרנות השקעה,16218248.151779981,0,16218248.151779981,0.07747796410553626
לא סחיר כתבי אופציה,16792.68718,0,16792.68718,8.022217950985939e-05
לא סחיר אופציות,0,0,0,0
לא סחיר נגזרים אחרים,972023.3993899969,0,972023.3993899969,0.004643559115810795
הלוואות,7791257.231389985,17170.75827,7790443.177839987,0.03721657673813935
לא סחיר מוצרים מובנים,363193.0212,0,363193.0212,0.0017350490383775832
פיקדונות מעל 3 חודשים,2474.41189,0,2474.41189,1.1820783219098257e-05
זכויות מקרקעין,300565.73988,0,300565.73988,0.001435865414552852
השקעה בחברות מוחזקות,0,0,0,0
נכסים אחרים,853327.5800999991,0,853327.5800999991,0.004076524357163428
סך הכל נכסים,195706957.91426003,54599155.69536997,209327236.96363997,1.0000000000000002
מסגרות אשראי,1394895.446487177,0,1394895.446487177,
יתרות התחייבויות להשקעה,7070313.868789996,0,7070313.868789996,
