Unnamed: 0,Unnamed: 1,ידווח בקבצי נכסי הנוסטרו בלבד,Unnamed: 3,Unnamed: 4
,שווי הוגן,עלות מופחתת,השיטה שיושמה בדוח הכספי,שיעור מסך נכסי השקעה
מזומנים ושווי מזומנים,30990842.5196699,0,30990842.5196699,0.225262277737811
איגרות חוב ממשלתיות,7270864.82929002,0,7270864.82929002,0.0528495335849636
ניירות ערך מסחריים,0,0,0,0
איגרות חוב,6085852.22131,0,6085852.22131,0.0442360652982535
"מניות, מניות בכורה ויחידות השתתפות",23585040.2542599,0,23585040.2542599,0.17143192815234
קרנות סל,13572425.73576,0,13572425.73576,0.098653514622072
קרנות נאמנות,929090.96855,0,929090.96855,0.00675325776213946
כתבי אופציה,13573.5407,0,13573.5407,9.86616189317286e-05
אופציות,162728.59262,0,162728.59262,0.00118282080919174
חוזים עתידיים,132257.72937,0,132257.72937,0.000961338090353878
מוצרים מובנים,0,0,0,0
לא סחיר איגרות חוב ממשלתיות,0,0,0,0
לא סחיר איגרות חוב מיועדות,19291968.13205,0,19291968.13205,0.140226993851896
אפיק השקעה מובטח תשואה,18768206.10243,0,18768206.10243,0.136419939309578
לא סחיר ניירות ערך מסחריים,9706.69689,0,9706.69689,7.05547985461874e-05
לא סחיר איגרות חוב,353637.76111,0,353637.76111,0.00257047698884525
"לא סחיר מניות, מניות בכורה ויחידות השתתפות",1428818.51697,0,1428818.51697,0.0103856135373648
קרנות השקעה,9350411.05595999,0,9350411.05595999,0.067965073583059
לא סחיר כתבי אופציה,934.41267,0,934.41267,6.79193946591394e-06
לא סחיר אופציות,1522107.7115,0,1522107.7115,0.01106370211901
לא סחיר נגזרים אחרים,-1097384.13218999,0,-1097384.13218999,-0.00797652561441503
הלוואות,4366651.84497002,0,4366651.84497002,0.031739761191121
לא סחיר מוצרים מובנים,7850.50289,0,7850.50289,5.70627326851876e-05
פיקדונות מעל 3 חודשים,224.93159,0,224.93159,1.63495401154157e-06
זכויות מקרקעין,268823.00943,0,268823.00943,0.00195398635497245
השקעה בחברות מוחזקות,0,0,0,0
נכסים אחרים,562074.671190001,0,562074.671190001,0.00408553657780129
סך הכל נכסים,137576707.60899,0,137576707.60899,1
מסגרות אשראי,,,4210044.830035,
יתרות התחייבויות להשקעה,,,1544204.59131,
